Serial Number,Zone_ID,ID_Campagne_Vaccination,Region,District,Aire_de_sante,Nom_du_site,ID_Site,date_debut_enregistrement,GPS_Lat,GPS_Long,Trajet_Km,Niveau_accessibilite,Moyen_transport,Immatriculation_vehicule,Carte_grise,Nom_chauffeur,Permis_conduire,Statut_site,ID_Superviseur,Nom_Superviseur,ID_Agent_Sante,Nom_Agent_Sante,Profession_Agent,Fonction_Agent,Experience_Vaccination,Annees_Experience,Formation_Specifique,Approbation_Formation_Superviseur,ID_Materiel,Nom_materiel,Type_materiel,Stock_Depart,Stock_transporte,Materiel_Fonctionnel,Nom_Demandeur,Temperature_Conservation,Date_Transport,Lieu_Depart,Lieu_Arrivee,Date_Arrivee,Nom_Receveur,Stock_Restant,Rupture_Stock,Date_fin_enregistrement
1,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-12-03,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,623,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,1,Glacière,Froid,122,41,Oui,Tchinda Jules,3.7,2024-11-30,Depot Central Douala,CSI Bepanda 1,2024-12-01,Mendomo Serge,25,Non,2025-02-06
2,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-12-03,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,623,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,2,Thermos,Froid,126,45,Oui,Tchinda Jules,6.3,2024-11-30,Depot Central Douala,CSI Bepanda 1,2024-12-02,Mendomo Serge,33,Non,2025-02-06
3,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-12-03,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,623,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,3,Kit seringues,Consumable,158,22,Oui,Tchinda Jules,N/A,2024-12-01,Depot Central Douala,CSI Bepanda 1,2024-12-02,Mendomo Serge,18,Non,2025-02-06
4,Zone 1,RUB-122024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-12-03,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,623,Mendomo Serge,Infirmier,Vaccinateur,Non,0,Rubéole,Non,4,Carnets,Papeterie,159,19,Oui,Tchinda Jules,N/A,2024-12-01,Depot Central Douala,CSI Bepanda 1,2024-12-03,Mendomo Serge,16,Non,2025-02-06
5,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-03-15,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,987,Essama Victor,Aide-soignant,Enregistreur,Non,0,Polio,Non,1,Glacière,Froid,104,25,Oui,Tchinda Jules,6.0,2024-03-12,Depot Central Douala,CSI Bepanda 1,2024-03-13,Essama Victor,11,Non,2024-05-19
6,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-03-15,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,987,Essama Victor,Aide-soignant,Enregistreur,Non,0,Polio,Non,2,Thermos,Froid,148,120,Oui,Tchinda Jules,7.6,2024-03-14,Depot Central Douala,CSI Bepanda 1,2024-03-15,Essama Victor,117,Non,2024-05-19
7,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-03-15,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,987,Essama Victor,Aide-soignant,Enregistreur,Non,0,Polio,Non,3,Kit seringues,Consumable,111,11,Oui,Tchinda Jules,N/A,2024-03-13,Depot Central Douala,CSI Bepanda 1,2024-03-15,Essama Victor,5,Non,2024-05-19
8,Zone 1,POL-032024-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2024-03-15,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,987,Essama Victor,Aide-soignant,Enregistreur,Non,0,Polio,Non,4,Carnets,Papeterie,181,27,Oui,Tchinda Jules,N/A,2024-03-14,Depot Central Douala,CSI Bepanda 1,2024-03-16,Essama Victor,10,Non,2024-05-19
9,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2025-06-09,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,920,Biya Rose,Relais communautaire,Mobilisateur,Oui,8,Rougeole,Oui,1,Glacière,Froid,67,21,Non,Tchinda Jules,5.7,2025-06-07,Depot Central Douala,CSI Bepanda 1,2025-06-09,Biya Rose,7,Non,2025-08-04
10,Zone 1,ROU-062025-LIT,Littoral,Bonassama,Bepanda,CSI Bepanda 1,LIT-BEPA-01,2025-06-09,3.856747,9.721922,46,Difficile,Piéton,N/A,N/A,N/A,N/A,Inactif,1,Tchinda Jules,920,Biya Rose,Relais communautaire,Mobilisateur,Oui,8,Rougeole,Oui,2,Thermos,Froid,56,22,Non,Tchinda Jules,7.3,2025-06-08,Depot Central Douala,CSI Bepanda 1,2025-06-10,Biya Rose,7,Non,2025-08-04
